X,CH1,Start,Increment
Sequence,Volt,-3.00E-02,5.00E-05
0,8.00E-01,,
1,2.80E-01,,
2,3.60E-01,,
3,1.20E-01,,
4,2.00E-01,,
5,8.00E-02,,
6,1.60E-01,,
7,0.00E+00,,
8,1.20E-01,,
9,-4.00E-02,,
10,4.00E-02,,
11,-4.00E-02,,
12,-4.00E-02,,
13,4.00E-02,,
14,-4.00E-02,,
15,4.00E-02,,
16,4.00E-02,,
17,-8.00E-02,,
18,4.00E-02,,
19,-8.00E-02,,
20,4.00E-02,,
21,-8.00E-02,,
22,4.00E-02,,
23,-8.00E-02,,
24,4.00E-02,,
25,-8.00E-02,,
26,4.00E-02,,
27,-8.00E-02,,
28,4.00E-02,,
29,-8.00E-02,,
30,-8.00E-02,,
31,4.00E-02,,
32,4.00E-02,,
33,-8.00E-02,,
34,4.00E-02,,
35,-8.00E-02,,
36,4.00E-02,,
37,-8.00E-02,,
38,-8.00E-02,,
39,4.00E-02,,
40,-8.00E-02,,
41,4.00E-02,,
42,4.00E-02,,
43,-8.00E-02,,
44,-8.00E-02,,
45,4.00E-02,,
46,4.00E-02,,
47,-8.00E-02,,
48,-8.00E-02,,
49,4.00E-02,,
50,-8.00E-02,,
51,4.00E-02,,
52,-8.00E-02,,
53,4.00E-02,,
54,4.00E-02,,
55,-8.00E-02,,
56,-8.00E-02,,
57,4.00E-02,,
58,4.00E-02,,
59,-8.00E-02,,
60,-8.00E-02,,
61,4.00E-02,,
62,4.00E-02,,
63,-8.00E-02,,
64,-8.00E-02,,
65,4.00E-02,,
66,-8.00E-02,,
67,4.00E-02,,
68,-8.00E-02,,
69,4.00E-02,,
70,-8.00E-02,,
71,4.00E-02,,
72,4.00E-02,,
73,-8.00E-02,,
74,4.00E-02,,
75,-8.00E-02,,
76,4.00E-02,,
77,-8.00E-02,,
78,4.00E-02,,
79,-8.00E-02,,
80,4.00E-02,,
81,-8.00E-02,,
82,4.00E-02,,
83,-8.00E-02,,
84,4.00E-02,,
85,-8.00E-02,,
86,4.00E-02,,
87,-8.00E-02,,
88,4.00E-02,,
89,-8.00E-02,,
90,4.00E-02,,
91,-8.00E-02,,
92,4.00E-02,,
93,-8.00E-02,,
94,4.00E-02,,
95,-8.00E-02,,
96,4.00E-02,,
97,-8.00E-02,,
98,4.00E-02,,
99,-8.00E-02,,
100,4.00E-02,,
101,-8.00E-02,,
102,-8.00E-02,,
103,4.00E-02,,
104,4.00E-02,,
105,-8.00E-02,,
106,4.00E-02,,
107,-8.00E-02,,
108,-8.00E-02,,
109,4.00E-02,,
110,4.00E-02,,
111,-8.00E-02,,
112,4.00E-02,,
113,-8.00E-02,,
114,4.00E-02,,
115,-8.00E-02,,
116,4.00E-02,,
117,-8.00E-02,,
118,4.00E-02,,
119,-8.00E-02,,
120,4.00E-02,,
121,-8.00E-02,,
122,4.00E-02,,
