Sequence,Volt,-2.34E-04,5.00E-07
0,0.00E+00,,
1,-1.60E-01,,
2,0.00E+00,,
3,-1.60E-01,,
4,-1.60E-01,,
5,0.00E+00,,
6,0.00E+00,,
7,-1.60E-01,,
8,0.00E+00,,
9,-1.60E-01,,
10,0.00E+00,,
11,-1.60E-01,,
12,0.00E+00,,
13,-1.60E-01,,
14,0.00E+00,,
15,-1.60E-01,,
16,0.00E+00,,
17,-1.60E-01,,
18,-1.60E-01,,
19,0.00E+00,,
20,0.00E+00,,
21,-1.60E-01,,
22,0.00E+00,,
23,-1.60E-01,,
24,0.00E+00,,
25,-1.60E-01,,
26,-8.00E-02,,
27,0.00E+00,,
28,0.00E+00,,
29,-1.60E-01,,
30,0.00E+00,,
31,-1.60E-01,,
32,0.00E+00,,
33,-1.60E-01,,
34,0.00E+00,,
35,-1.60E-01,,
36,-1.60E-01,,
37,0.00E+00,,
38,0.00E+00,,
39,-1.60E-01,,
40,0.00E+00,,
41,-1.60E-01,,
42,0.00E+00,,
43,-1.60E-01,,
44,0.00E+00,,
45,-1.60E-01,,
46,0.00E+00,,
47,-1.60E-01,,
48,0.00E+00,,
49,-1.60E-01,,
50,0.00E+00,,
51,-1.60E-01,,
52,0.00E+00,,
53,-1.60E-01,,
54,0.00E+00,,
55,-1.60E-01,,
56,0.00E+00,,
57,-1.60E-01,,
58,0.00E+00,,
59,-1.60E-01,,
60,0.00E+00,,
61,-1.60E-01,,
62,0.00E+00,,
63,-1.60E-01,,
64,0.00E+00,,
65,-1.60E-01,,
66,0.00E+00,,
67,-1.60E-01,,
68,0.00E+00,,
69,-1.60E-01,,
70,0.00E+00,,
71,-1.60E-01,,
72,0.00E+00,,
73,-1.60E-01,,
74,0.00E+00,,
75,-1.60E-01,,
76,-8.00E-02,,
77,0.00E+00,,
78,0.00E+00,,
79,-1.60E-01,,
80,0.00E+00,,
81,-1.60E-01,,
82,0.00E+00,,
83,-1.60E-01,,
84,0.00E+00,,
