Sequence,Volt,Volt,-3.00E-02,5.00E-05
0,-1.84E+00,-2.00E+01,,
1,-2.00E+00,-2.16E+01,,
2,-1.92E+00,-2.16E+01,,
3,-2.08E+00,-2.00E+01,,
4,-1.92E+00,-2.00E+01,,
5,-2.08E+00,-2.24E+01,,
6,-2.00E+00,-2.24E+01,,
7,-2.08E+00,-2.08E+01,,
8,-2.00E+00,-2.08E+01,,
9,-2.16E+00,-2.32E+01,,
10,-2.00E+00,-2.16E+01,,
11,-2.16E+00,-2.32E+01,,
12,-2.08E+00,-2.32E+01,,
13,-2.24E+00,-2.16E+01,,
14,-2.24E+00,-2.16E+01,,
15,-2.08E+00,-2.40E+01,,
16,-2.08E+00,-2.40E+01,,
17,-2.24E+00,-2.24E+01,,
18,-2.16E+00,-2.40E+01,,
19,-2.32E+00,-2.24E+01,,
20,-2.16E+00,-2.24E+01,,
21,-2.32E+00,-2.48E+01,,
22,-2.16E+00,-2.32E+01,,
23,-2.32E+00,-2.48E+01,,
24,-2.24E+00,-2.48E+01,,
25,-2.32E+00,-2.32E+01,,
26,-2.24E+00,-2.48E+01,,
27,-2.32E+00,-2.32E+01,,
28,-2.24E+00,-2.32E+01,,
29,-2.40E+00,-2.48E+01,,
30,-2.24E+00,-2.32E+01,,
31,-2.40E+00,-2.56E+01,,
32,-2.24E+00,-2.56E+01,,
33,-2.40E+00,-2.32E+01,,
34,-2.32E+00,-2.56E+01,,
35,-2.40E+00,-2.40E+01,,
36,-2.32E+00,-2.56E+01,,
37,-2.40E+00,-2.40E+01,,
38,-2.40E+00,-2.56E+01,,
39,-2.32E+00,-2.40E+01,,
40,-2.32E+00,-2.40E+01,,
41,-2.40E+00,-2.56E+01,,
42,-2.32E+00,-2.40E+01,,
43,-2.48E+00,-2.56E+01,,
44,-2.32E+00,-2.40E+01,,
45,-2.48E+00,-2.64E+01,,
46,-2.48E+00,-2.48E+01,,
47,-2.40E+00,-2.64E+01,,
48,-2.40E+00,-2.64E+01,,
49,-2.48E+00,-2.56E+01,,
50,-2.48E+00,-2.64E+01,,
51,-2.32E+00,-2.40E+01,,
52,-2.32E+00,-2.40E+01,,
53,-2.48E+00,-2.64E+01,,
54,-2.32E+00,-2.40E+01,,
55,-2.48E+00,-2.56E+01,,
56,-2.32E+00,-2.56E+01,,
57,-2.40E+00,-2.40E+01,,
58,-2.32E+00,-2.56E+01,,
59,-2.40E+00,-2.40E+01,,
60,-2.24E+00,-2.56E+01,,
61,-2.40E+00,-2.32E+01,,
62,-2.24E+00,-2.48E+01,,
63,-2.40E+00,-2.32E+01,,
64,-2.32E+00,-2.48E+01,,
65,-2.16E+00,-2.32E+01,,
66,-2.32E+00,-2.48E+01,,
67,-2.16E+00,-2.24E+01,,
68,-2.16E+00,-2.24E+01,,
69,-2.32E+00,-2.40E+01,,
70,-2.24E+00,-2.40E+01,,
71,-2.08E+00,-2.16E+01,,
72,-2.08E+00,-2.32E+01,,
73,-2.24E+00,-2.16E+01,,
74,-2.16E+00,-2.32E+01,,
75,-2.00E+00,-2.16E+01,,
76,-2.00E+00,-2.32E+01,,
77,-2.16E+00,-2.08E+01,,
78,-2.00E+00,-2.08E+01,,
79,-2.08E+00,-2.24E+01,,
80,-2.08E+00,-2.24E+01,,
81,-1.92E+00,-2.00E+01,,
82,-2.00E+00,-2.16E+01,,
83,-1.84E+00,-2.00E+01,,
84,-1.84E+00,-2.16E+01,,
85,-2.00E+00,-1.92E+01,,
86,-1.92E+00,-1.92E+01,,
87,-1.76E+00,-2.08E+01,,
88,-1.84E+00,-2.08E+01,,
89,-1.68E+00,-1.84E+01,,
90,-1.76E+00,-2.00E+01,,
91,-1.60E+00,-1.76E+01,,
92,-1.76E+00,-1.76E+01,,
93,-1.60E+00,-1.92E+01,,
94,-1.68E+00,-1.92E+01,,
95,-1.52E+00,-1.68E+01,,
96,-1.68E+00,-1.68E+01,,
97,-1.52E+00,-1.84E+01,,
98,-1.60E+00,-1.84E+01,,
99,-1.44E+00,-1.60E+01,,
100,-1.52E+00,-1.76E+01,,
101,-1.36E+00,-1.52E+01,,
102,-1.52E+00,-1.52E+01,,
103,-1.36E+00,-1.68E+01,,
104,-1.44E+00,-1.68E+01,,
105,-1.28E+00,-1.44E+01,,
106,-1.36E+00,-1.60E+01,,
107,-1.20E+00,-1.36E+01,,
108,-1.36E+00,-1.36E+01,,
109,-1.20E+00,-1.52E+01,,
110,-1.28E+00,-1.44E+01,,
111,-1.12E+00,-1.28E+01,,
112,-1.20E+00,-1.44E+01,,
113,-1.04E+00,-1.20E+01,,
114,-1.20E+00,-1.36E+01,,
115,-9.60E-01,-1.12E+01,,
116,-9.60E-01,-1.12E+01,,
117,-1.12E+00,-1.28E+01,,
118,-8.80E-01,-1.20E+01,,
119,-1.04E+00,-1.04E+01,,
120,-9.60E-01,-1.20E+01,,
121,-8.00E-01,-9.60E+00,,
122,-9.60E-01,-1.04E+01,,
123,-7.20E-01,-8.80E+00,,
124,-8.80E-01,-9.60E+00,,
125,-6.40E-01,-8.00E+00,,
126,-8.00E-01,-8.80E+00,,
