=== MATERIAL ===
Material,NdFeB N52
Br (T),1.45
Hc (kA/m),955.0
Recoil mu_r,1.05

=== GEOMETRY ===
Axial depth (mm),12.0
Iron-core diameter (mm),10.0
Bore diameter (mm),12.0
Air gap (mm),1.0
Magnet thickness (mm),1.0
Air-gap area (cm²),2.261946710584651
Core area (cm²),0.7853981633974483

=== RELUCTANCES (H⁻¹) ===
R_magnet,3.35e+06
R_gap,3.52e+06
R_core,3.71e+05
R_return,7.04e+05
R_total,7.94e+06

=== MAGNETIC QUANTITIES ===
MMF (A),955.00
Flux phi (mWb),0.1202
B_gap (T),0.5315
B_core (T),1.5308
mu_steel_eff (relative),214.7

=== MOTOR CONSTANTS ===
Kt = Ke (N·m/A),0.00144
R_coil (Ω),2.4272
L_coil (mH),0.0167
J_rotor (g·cm²),0.9189
Wire total length (m),2.494

=== DRIVING ===
Voltage (V),3.0
Turns,45
Wire dia (mm),0.15
Lam thickness (mm),0.5

=== STEADY-STATE RESULTS ===
Speed (RPM),3588.0
Current (A),7.4129
Back-EMF (V),0.5392
Fan output power (mW),1060.591
Copper loss (mW),266754.495
Eddy-current loss (mW),4.253
Hysteresis loss (mW),3.175
Mechanical loss (mW),2935.472
Input power (mW),22238.759
Efficiency (%),1.17
