time_s,speed_rpm,current_A,back_emf_V,T_em_Nm,T_fan_Nm,P_fan_out_W,P_copper_W,P_eddy_W,P_hysteresis_W,P_mec_W,P_in_W,efficiency
0.00000,265.52,18.01266,0.00000,0.025851,0.000000,0.000000,787.514640,0.000023,0.000235,0.008342,54.037966,0.0000
0.00010,256.47,0.00000,0.03991,0.000000,0.000015,0.000415,0.000000,0.000022,0.000227,0.022993,0.000000,0.0000
0.00020,512.81,17.78123,0.03854,0.025519,0.000014,0.000775,767.408470,0.000087,0.000454,0.044956,53.343679,0.0000
0.00030,497.93,0.00000,0.07707,0.000000,0.000058,0.003007,0.000000,0.000082,0.000441,0.071646,0.000000,0.0000
0.00040,745.35,17.56334,0.07483,0.025206,0.000054,0.004244,748.716202,0.000183,0.000660,0.104814,52.690011,0.0001
0.00050,724.74,0.00000,0.11202,0.000000,0.000122,0.009247,0.000000,0.000173,0.000641,0.141245,0.000000,0.0000
0.00060,963.54,17.35867,0.10892,0.024912,0.000115,0.011624,731.367811,0.000307,0.000853,0.183430,52.075997,0.0002
0.00070,937.34,0.00000,0.14481,0.000000,0.000204,0.019987,0.000000,0.000290,0.000830,0.227534,0.000000,0.0000
0.00080,1167.85,17.16683,0.14087,0.024637,0.000193,0.023567,715.291687,0.000450,0.001034,0.276777,51.500478,0.0005
0.00090,1136.20,0.00000,0.17552,0.000000,0.000299,0.035591,0.000000,0.000426,0.001006,0.326718,0.000000,0.0000
0.00100,1358.76,16.98738,0.17076,0.024380,0.000283,0.040288,700.415717,0.000610,0.001203,0.381287,50.962135,0.0008
0.00110,1321.86,0.00000,0.20421,0.000000,0.000405,0.056052,0.000000,0.000577,0.001170,0.435457,0.000000,0.0000
0.00120,1536.85,16.81984,0.19866,0.024139,0.000383,0.061677,686.668206,0.000780,0.001360,0.493840,50.459523,0.0012
0.00130,1494.90,0.00000,0.23097,0.000000,0.000518,0.081094,0.000000,0.000738,0.001323,0.550846,0.000000,0.0000
0.00140,1702.67,16.66370,0.22467,0.023915,0.000490,0.087392,673.978629,0.000957,0.001507,0.611743,49.991105,0.0017
0.00150,1655.89,0.00000,0.25589,0.000000,0.000636,0.110258,0.000000,0.000906,0.001466,0.670394,0.000000,0.0000
0.00160,1856.84,16.51843,0.24886,0.023707,0.000601,0.116937,662.278240,0.001139,0.001643,0.732697,49.555278,0.0024
0.00170,1805.45,0.00000,0.27906,0.000000,0.000756,0.142972,0.000000,0.001077,0.001598,0.791991,0.000000,0.0000
0.00180,1999.95,16.38347,0.27134,0.023513,0.000715,0.149729,651.500549,0.001321,0.001770,0.854771,49.150401,0.0030
0.00190,1944.19,0.00000,0.30057,0.000000,0.000877,0.178605,0.000000,0.001248,0.001721,0.913875,0.000000,0.0000
0.00200,2132.62,16.25827,0.29219,0.023333,0.000829,0.185143,641.581674,0.001502,0.001887,0.976365,48.774817,0.0038
