parameter,value,P_fan_mW,efficiency_%,delta_P_%
axial_depth_mm,9.0,353.28465629872113,0.47254214273030076,-66.68983965245458
axial_depth_mm,15.0,1151.1727371894121,0.9844866083290031,8.540656322768434
core_diameter_mm,7.5,766.9455754332337,0.4061250844129437,-27.68698090901212
core_diameter_mm,5.4,477.2359110166909,0.10275046638189599,-55.00284420470384
turns,33,2272.1950141518764,1.334521161732019,114.23851535208979
turns,56,607.1540907976425,1.0487398958762983,-42.7532451253335
wire_dia_mm,0.11249999999999999,1060.5912808985352,1.173551982612598,0.0
wire_dia_mm,0.1875,1060.5912808985352,1.173551982612598,0.0
lam_thickness_mm,0.25,1060.5912808985352,1.173551982612598,0.0
lam_thickness_mm,1.0,1060.5912808985352,1.173551982612598,0.0
voltage,2.25,507.33659386401564,1.0082715593289788,-52.16474027254677
voltage,3.75,1841.12046321433,1.2918501407699667,73.59377701594838
