t_s,filtered_g,raw_cal_g
45.606597900390625,0.08,0.2
46.39905309677124,0.09,0.21
47.191375970840454,0.11,0.2
47.98379302024841,0.13,0.18
48.77620005607605,0.14,0.18
49.568599224090576,0.15,0.14
50.361039876937866,0.15,0.12
51.1534218788147,0.15,0.12
51.94589185714722,0.14,0.09
52.73832821846008,0.13,0.05
53.53071212768555,0.12,0.09
54.32296824455261,0.11,0.03
55.115248918533325,0.09,0.07
55.907492876052856,0.08,0.01
56.69988417625427,0.07,-0.01
57.492100954055786,0.05,-0.05
58.2843861579895,0.03,-0.06
59.076557874679565,0.01,-0.07
59.86922311782837,-0.01,-0.05
60.66154909133911,-0.02,-0.03
61.45372915267944,-0.03,-0.05
62.24593210220337,-0.04,-0.05
63.03823399543762,-0.04,-0.05
63.830536127090454,-0.05,-0.06
64.62284302711487,-0.05,-0.05
65.41509509086609,-0.06,-0.08
66.20731091499329,-0.06,-0.03
66.99954390525818,-0.06,-0.01
67.79176712036133,-0.06,-0.04
68.58402585983276,-0.06,-0.04
69.37616205215454,-0.06,0.01
70.1683931350708,-0.05,0.04
70.9606101512909,-0.04,0.02
71.75286507606506,-0.03,0.05
72.54512810707092,-0.02,0.01
73.33742022514343,-0.01,-0.02
74.129714012146,-0.01,-0.03
74.92195320129395,-0.02,-0.03
75.71416401863098,-0.02,-0.01
76.506432056427,-0.03,-0.01
77.29865884780884,-0.03,-0.01
78.09078311920166,-0.03,0.04
78.88304591178894,-0.03,0.04
79.67548084259033,-0.02,0.04
80.46788787841797,-0.01,0.06
81.25993514060974,0.0,0.06
82.05227994918823,0.01,0.08
82.84471893310547,0.02,0.09
83.63717317581177,0.03,0.08
84.42961001396179,0.04,0.1
85.2219409942627,0.04,0.09
86.01438188552856,0.05,0.09
86.8067831993103,0.06,0.05
87.59906911849976,0.06,0.06
88.39133810997009,0.06,0.11
89.1836109161377,0.07,0.09
89.97581815719604,0.07,0.11
90.76808214187622,0.07,0.15
91.56031203269958,0.08,0.15
92.35247492790222,0.09,0.12
93.14475917816162,0.09,0.13
93.93700003623962,0.1,0.12
94.72921895980835,0.1,0.12
95.52147698402405,0.1,0.11
96.31367993354797,0.1,0.12
97.10596585273743,0.11,0.14
97.8982150554657,0.11,0.13
98.69045424461365,0.11,0.14
99.4827389717102,0.11,0.14
100.27501702308655,0.11,0.09
101.06719017028809,0.12,0.09
101.85950016975403,0.11,0.08
102.65175795555115,0.1,0.06
103.444002866745,0.09,0.01
104.236248254776,0.08,0.02
105.02851009368896,0.06,0.03
105.82078909873962,0.05,0.03
106.6130919456482,0.04,0.05
107.40532112121582,0.04,0.08
108.19761490821838,0.04,0.09
108.98983407020569,0.04,0.12
109.78217101097107,0.05,0.16
110.57442903518677,0.06,0.19
111.36670184135437,0.08,0.19
112.15900206565857,0.1,0.21
112.95122504234314,0.12,0.25
113.74372410774231,0.14,0.28
114.53575801849365,0.16,0.27
115.32800006866455,0.18,0.24
116.1202871799469,0.19,0.26
116.91253113746643,0.2,0.22
117.70481324195862,0.21,0.18
118.49705004692078,0.22,0.24
119.28936719894409,0.22,0.23
120.08159303665161,0.22,0.25
